time_s,north_m,east_m,altitude_m,phase
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.377412497997283936e-02,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.474229812622070312e-02,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.584950655698776245e-02,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.725560247898101807e-02,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.913198649883270264e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.015153154730796814e-01,0.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.044117733836174011e-01,0.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.078208759427070618e-01,0.000000000000000000e+00
1.600000000000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.117397695779800415e-01,0.000000000000000000e+00
1.799999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.161646842956542969e-01,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210909336805343628e-01,0.000000000000000000e+00
2.200000000000000011e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.265139877796173096e-01,0.000000000000000000e+00
2.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.324300318956375122e-01,0.000000000000000000e+00
2.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.388354003429412842e-01,0.000000000000000000e+00
2.800000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.457266807556152344e-01,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.530993729829788208e-01,0.000000000000000000e+00
3.200000000000000067e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.609489619731903076e-01,0.000000000000000000e+00
3.400000000000000244e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.692716330289840698e-01,0.000000000000000000e+00
3.599999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.780640780925750732e-01,0.000000000000000000e+00
3.800000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.873229146003723145e-01,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.970434337854385376e-01,0.000000000000000000e+00
4.199999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.072205096483230591e-01,0.000000000000000000e+00
4.400000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.178553044795989990e-01,0.000000000000000000e+00
4.600000000000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.289496660232543945e-01,0.000000000000000000e+00
4.799999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.405014634132385254e-01,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.525067925453186035e-01,0.000000000000000000e+00
5.200000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.649606764316558838e-01,0.000000000000000000e+00
5.400000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.778580188751220703e-01,0.000000000000000000e+00
5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.911944091320037842e-01,0.000000000000000000e+00
5.799999999999999600e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.049660325050354004e-01,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.191690146923065186e-01,0.000000000000000000e+00
6.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.337992429733276367e-01,0.000000000000000000e+00
6.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.488526940345764160e-01,0.000000000000000000e+00
6.600000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.643256425857543945e-01,0.000000000000000000e+00
6.800000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.802145719528198242e-01,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.965156972408294678e-01,0.000000000000000000e+00
7.199999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.132250249385833740e-01,0.000000000000000000e+00
7.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.303390085697174072e-01,0.000000000000000000e+00
7.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.478543102741241455e-01,0.000000000000000000e+00
7.800000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.657676219940185547e-01,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.840752184391021729e-01,0.000000000000000000e+00
8.200000000000000622e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.027729868888854980e-01,0.000000000000000000e+00
8.399999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.218571424484252930e-01,0.000000000000000000e+00
8.599999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.413242578506469727e-01,0.000000000000000000e+00
8.800000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.611711740493774414e-01,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.813945531845092773e-01,0.000000000000000000e+00
9.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.019909977912902832e-01,0.000000000000000000e+00
9.400000000000000577e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.229573488235473633e-01,0.000000000000000000e+00
9.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.442906856536865234e-01,0.000000000000000000e+00
9.799999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.659880876541137695e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.880461573600769043e-01,0.000000000000000000e+00
1.020000000000000018e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.104610800743103027e-01,0.000000000000000000e+00
1.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.332293987274169922e-01,0.000000000000000000e+00
1.060000000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.563481926918029785e-01,0.000000000000000000e+00
1.080000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.798146605491638184e-01,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.036257028579711914e-01,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.277776241302490234e-01,0.000000000000000000e+00
1.140000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.522671461105346680e-01,0.000000000000000000e+00
1.159999999999999920e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.770915269851684570e-01,0.000000000000000000e+00
1.179999999999999938e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.022481441497802734e-01,0.000000000000000000e+00
1.199999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.277340173721313477e-01,0.000000000000000000e+00
1.219999999999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.535458683967590332e-01,0.000000000000000000e+00
1.239999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.796805381774902344e-01,0.000000000000000000e+00
1.260000000000000009e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.006135225296020508e+00,1.000000000000000000e+00
1.280000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.032874822616577148e+00,1.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.059838771820068359e+00,1.000000000000000000e+00
